#First-Come First-Serve
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
1,0,835,0,True
2,838,609,0,True
3,1450,738,0,True
4,2191,464,0,True
5,2658,666,0,True
6,3327,289,0,True
7,3619,506,0,True
8,4128,633,0,True
9,4764,724,0,True
10,5491,643,0,True
11,6137,217,0,True
12,6357,372,0,True
13,6732,301,0,True
14,7036,811,0,True
15,7850,912,0,True
16,8765,529,0,True
17,9297,618,0,True
18,9918,229,0,True
" "
Average Turn Around Time: 5591
" "
" "
#Shortest-Job-First
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
11,0,217,0,True
18,220,229,0,True
6,452,289,0,True
13,744,301,0,True
12,1048,372,0,True
4,1423,464,0,True
7,1890,506,0,True
16,2399,529,0,True
2,2931,609,0,True
17,3543,618,0,True
8,4164,633,0,True
10,4800,643,0,True
5,5446,666,0,True
9,6115,724,0,True
3,6842,738,0,True
14,7583,811,0,True
1,8397,835,0,True
15,9235,912,0,True
" "
Average Turn Around Time: 4296
" "
" "
#Round Robin 30
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
1,0,835,805,False
2,33,609,579,False
3,66,738,708,False
4,99,464,434,False
5,132,666,636,False
6,165,289,259,False
7,198,506,476,False
8,231,633,603,False
9,264,724,694,False
10,297,643,613,False
11,330,217,187,False
12,363,372,342,False
13,396,301,271,False
14,429,811,781,False
15,462,912,882,False
16,495,529,499,False
17,528,618,588,False
18,561,229,199,False
1,594,805,775,False
2,627,579,549,False
3,660,708,678,False
4,693,434,404,False
5,726,636,606,False
6,759,259,229,False
7,792,476,446,False
8,825,603,573,False
9,858,694,664,False
10,891,613,583,False
11,924,187,157,False
12,957,342,312,False
13,990,271,241,False
14,1023,781,751,False
15,1056,882,852,False
16,1089,499,469,False
17,1122,588,558,False
18,1155,199,169,False
1,1188,775,745,False
2,1221,549,519,False
3,1254,678,648,False
4,1287,404,374,False
5,1320,606,576,False
6,1353,229,199,False
7,1386,446,416,False
8,1419,573,543,False
9,1452,664,634,False
10,1485,583,553,False
11,1518,157,127,False
12,1551,312,282,False
13,1584,241,211,False
14,1617,751,721,False
15,1650,852,822,False
16,1683,469,439,False
17,1716,558,528,False
18,1749,169,139,False
1,1782,745,715,False
2,1815,519,489,False
3,1848,648,618,False
4,1881,374,344,False
5,1914,576,546,False
6,1947,199,169,False
7,1980,416,386,False
8,2013,543,513,False
9,2046,634,604,False
10,2079,553,523,False
11,2112,127,97,False
12,2145,282,252,False
13,2178,211,181,False
14,2211,721,691,False
15,2244,822,792,False
16,2277,439,409,False
17,2310,528,498,False
18,2343,139,109,False
1,2376,715,685,False
2,2409,489,459,False
3,2442,618,588,False
4,2475,344,314,False
5,2508,546,516,False
6,2541,169,139,False
7,2574,386,356,False
